name,description,category,attributes,,,
T-shirt,A comfortable and stylish T-shirt,Clothing,cotton,short-sleeved,various colors,
Jeans,Classic and comfortable jeans,Clothing,denim,stretchable,various sizes,
Sweater,A cozy and warm sweater,Clothing,knit,soft,various sizes,
Dress,A stylish and comfortable dress,Clothing,cotton,flowy,various colors,
Shoes,Durable and stylish shoes,Clothing,leather,comfortable,various styles,
name,description,category,attributes,,,
T-shirt,A comfortable and stylish T-shirt,Clothing,cotton,short-sleeved,various colors,
Jeans,Classic and comfortable jeans,Clothing,denim,stretchable,various sizes,
Sweater,A cozy and warm sweater,Clothing,knit,soft,various sizes,
Dress,A stylish and comfortable dress,Clothing,cotton,flowy,various colors,
Shoes,Durable and stylish shoes,Clothing,leather,comfortable,various styles,
name,description,category,attributes,,,
T-shirt,A comfortable and stylish T-shirt,Clothing,cotton,short-sleeved,various colors,
Jeans,Classic and comfortable jeans,Clothing,denim,stretchable,various sizes,
Sweater,A cozy and warm sweater,Clothing,knit,soft,various sizes,
Dress,A stylish and comfortable dress,Clothing,cotton,flowy,various colors,
Shoes,Durable and stylish shoes,Clothing,leather,comfortable,various styles,
name,description,category,attributes,,,
T-shirt,A comfortable and stylish T-shirt,Clothing,cotton,short-sleeved,various colors,
Jeans,Classic and comfortable jeans,Clothing,denim,stretchable,various sizes,
Sweater,A cozy and warm sweater,Clothing,knit,soft,various sizes,
Dress,A stylish and comfortable dress,Clothing,cotton,flowy,various colors,
Shoes,Durable and stylish shoes,Clothing,leather,comfortable,various styles,
name,description,category,attributes,,,
T-shirt,A comfortable and stylish T-shirt,Clothing,cotton,short-sleeved,various colors,
Jeans,Classic and comfortable jeans,Clothing,denim,stretchable,various sizes,
Sweater,A cozy and warm sweater,Clothing,knit,soft,various sizes,
Dress,A stylish and comfortable dress,Clothing,cotton,flowy,various colors,
Shoes,Durable and stylish shoes,Clothing,leather,comfortable,various styles,
name,description,category,attributes,,,
T-shirt,A comfortable and stylish T-shirt,Clothing,cotton,short-sleeved,various colors,
Jeans,Classic and comfortable jeans,Clothing,denim,stretchable,various sizes,
Sweater,A cozy and warm sweater,Clothing,knit,soft,various sizes,
Dress,A stylish and comfortable dress,Clothing,cotton,flowy,various colors,
Shoes,Durable and stylish shoes,Clothing,leather,comfortable,various styles,
name,description,category,attributes,,,
